Timestamp,ImagePath,ShadowR,ShadowG,ShadowB,Specular,RimLightWidth,WidthScale
20260418_163137,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\0fe4c88ab1619449935bcc5709608b63.jpeg"",0.720228,0.718598,0.721857,0.738151,1.000000,1.648811
20260418_163441,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\09bebe5726d05a84764dce620b8c9594_720.jpg"",0.782145,0.782145,0.785403,1.000000,0.589876,1.738427
20260418_163618,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\9ac8e39252d462662fb25b6abbf4d553_720.jpg"",0.334061,0.425307,0.655052,1.000000,1.000000,1.107036
20260418_163719,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\e9b1d067a4e20f122b567bb5e351abd0_720.jpg"",0.558917,0.425307,0.655052,0.506777,0.172750,2.695698
20260418_163822,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\d4fac61098a607c828e0c08b1c8342c7.jpg"",0.294955,0.260738,0.281920,0.000000,0.428565,1.033713
20260418_163933,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\10331613a66ef9681f76f3b6aab0c6ec_720.jpg"",0.834285,0.519812,0.532847,0.977672,0.203709,1.616223
20260418_164037,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\c36b7f3334cf94e3b92b6da936d14864.jpeg"",0.725116,0.726745,0.813103,0.822880,0.151568,2.312789
20260418_164125,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\685986e8415007a4e617ee4f347c84b4.jpg"",0.558917,0.545882,0.542623,0.878279,0.270514,1.856558
20260418_164224,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\5702240f9a5df2a2284c37077c5664b3.jpeg"",0.754445,0.749557,0.747927,1.000000,0.272143,0.927802
20260419_161321,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\642b5b349a5182a0f02bb1d41d0a2ca3.png"",1.000000,1.000000,1.000000,0.838085,0.099095,2.237899
20260419_161419,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\d56ef3ffa32484f546208465a67bbf10_720.png"",0.917669,0.911172,0.920917,0.016264,0.021136,1.543574
20260419_161515,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\a929fe33ef0582f07ff14afdad10a25d_720.png"",0.449913,0.454785,0.605831,0.929038,0.310235,1.494849
20260419_161812,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\3ac3efb8f4f29a4c6afe1854c2e1bad9_720.jpg"",0.467778,0.412557,0.287497,0.929038,0.833213,1.161898
20260419_161951,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\9f7fdcef4ad3121efac1c7783d785c4b_720.jpg"",0.747132,0.636690,0.599335,0.622073,0.859199,1.486728
20260419_162040,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\2ec1db51fb8802423007851021357768_720.jpg"",0.665925,0.407685,0.422302,0.345967,0.506758,1.401460
20260419_162128,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\1cc04282d09f4f285deb97c1749cfee4_720.jpg"",0.347591,0.407685,0.570100,0.805602,0.613952,0.816765
20260419_162257,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\9ebbdf9fe7b2d1b347b1ba1271726a32_720.jpg"",0.613952,0.722770,0.708153,0.929038,0.777992,2.059243
20260419_162351,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\2f5b3b8c2be647688e1369406e15b6ff_720.jpg"",0.578221,0.722770,0.573348,0.929038,0.646435,0.999482
20260419_162722,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\23068672384c864cb91c08abb473b6dc_720.jpg"",0.862448,0.937159,0.929038,0.784488,0.466154,2.181054
20260420_210016,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\b31c2c7ddc0788b477dbdedab22cd152.jpg"",0.595830,0.576558,0.618315,0.157375,0.796589,2.515563
20260420_210055,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\418186854d8f6e81c11ef0453468c311.jpg"",0.786952,0.576558,0.618315,0.507497,0.944347,3.000000
20260420_210154,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\d2459651413a55f15469e7fb75f9e402.jpg"",0.831922,0.860831,0.892953,0.661679,0.422375,2.182304
20260420_210233,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\ecfd68246140e699605d78e489c8a5f9_720.jpg"",1.000000,1.000000,1.000000,0.346890,0.741982,1.937379
20260420_210419,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\31033f646fe32d526af72fc80fd98ba7.jpg"",0.672922,0.480194,0.616709,0.036920,0.552467,1.475635
20260420_210500,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\31033f646fe32d526af72fc80fd98ba7.jpg"",0.597436,0.520345,0.465739,0.391860,0.653649,1.174498
20260420_210537,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\05714bec93877f2f2f62f2c226f5774e.jpg"",0.597436,0.541224,0.326011,0.011223,0.028889,1.636242
20260420_210614,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\4e370baa931d1332753aa7e95762f9ce_720.png"",0.565315,0.584588,0.464133,0.820679,0.602255,1.331089
20260420_210747,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\50bed9e4465e9265eba5ac9358c6300a.jpeg"",0.133284,0.138102,0.211981,0.038526,0.030495,1.704499
20260420_210830,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\985e4f3399bd43a21940412022b53060.jpg"",0.155769,0.183072,0.226435,0.364557,0.456103,1.025937
20260420_210915,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\895386408cd2f49edd5d5f3ced937ba8.jpg"",0.309951,0.329224,0.353315,0.432012,0.881710,1.250786
20260420_210944,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\bf9f77420e6895f464706fe086104846.jpg"",0.494648,0.485012,0.493042,0.284254,0.207163,1.367226
20260420_211007,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\ef403d6a4ba70b6fd08475b965ce756e.jpg"",0.494648,0.650437,0.493042,0.059405,0.065829,1.648287
20260420_211140,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\e504073a355b053b12e48be2496dcf0d.jpg"",0.793377,0.698619,0.480194,0.030495,0.040132,1.278892
20260420_211241,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\0daee1fdf6e2c219b8f1d8bd22e4e3b4.png"",0.928286,0.931498,0.923468,0.024071,0.020859,2.632002
20260420_211752,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\6680a6e48979bc7b4121b9b621fec6ca.jpg"",0.383830,0.377406,0.391860,0.356527,0.570133,1.082149
20260420_211828,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\0aba9a44de676e5a3c255e39ac5639f2_720.jpg"",0.716285,0.534800,0.555679,0.566921,0.234466,0.708739
20260420_211917,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\15e582d3af21fcbcccfff186ecd0519f_720.jpg"",0.693800,0.476981,0.486618,0.664891,0.211981,1.881167
20260420_211948,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\62aadfb99ade948a19bd1f65537307d7_720.jpg"",0.473769,0.476981,0.851195,0.664891,0.197526,1.764727
20260420_212106,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\aaac9df56eca69a28d68df3b38edb776.jpg"",0.473769,0.338860,0.305133,0.433618,0.623133,1.411392
20260420_212150,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\e22739a40505ed587a47d64f5ec6b967.jpg"",0.558891,0.415951,0.415951,0.232860,0.078677,0.973740
20260420_212151,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\e22739a40505ed587a47d64f5ec6b967.jpg"",0.558891,0.415951,0.415951,0.232860,0.078677,0.973740
20260420_212237,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\5c82e6140d85aba9bd2b6675a28f4237.jpg"",0.231254,0.295496,0.200738,0.229648,0.528376,1.186543
20260420_212302,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\3cfd7f7d54c48a1743af8694fb7857e6.jpg"",0.966831,0.960407,0.981286,0.229648,0.088314,0.909497
20260420_212313,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\3cfd7f7d54c48a1743af8694fb7857e6.jpg"",0.966831,0.960407,0.981286,0.229648,0.088314,0.909497
20260420_212325,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\0d848a173b34efe76bade5290638833c.jpg"",0.987710,0.976468,0.971650,0.057799,0.054586,0.993816
20260420_212354,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\fd5e837fad2d74c111e6be91b7d6b32a_720.jpg"",1.000000,0.878498,0.892953,0.499467,0.054586,1.142377
20260420_212432,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\e9352e564bc4a3a9387a02b0ea107ae8_720.jpg"",1.000000,0.841558,0.851195,0.044950,0.036920,2.640033
20260420_212512,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\6568392f20977b72694a15fb2a45d29e.jpg"",0.639194,0.627952,0.632770,0.022465,0.022465,1.306998
20260420_212539,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\c591097fa599286d24b39336fa854874.jpg"",0.796589,0.846377,0.854407,0.650437,0.536406,1.001846
20260420_212624,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\ff4853cf423e597059821bcd670f5edb_720.jpg"",0.949165,0.941135,0.942740,0.650437,0.743588,1.294953
20260421_232448,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\d55857002b0466ba2ee2939c528b2640.jpeg"",0.621145,0.387403,0.371394,0.680381,0.017579,1.440491
20260421_232518,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\92275d86cf60cde19df4cfd6bb0d7cf8.jpeg"",0.678780,0.408216,0.387403,0.680381,0.017579,1.404470
20260421_232525,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\92275d86cf60cde19df4cfd6bb0d7cf8.jpeg"",0.678780,0.408216,0.387403,0.680381,0.017579,1.404470
20260421_232606,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\cdf00a02e491cb7c881cf091b7babca1.jpeg"",0.678780,0.494668,0.387403,0.185681,0.723607,1.776695
20260421_234049,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\16802dfe2fd7cbb75b20ce96c195cc4f.jpeg"",0.678780,0.352182,0.347379,0.499471,0.179277,1.348436
20260421_234123,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\58ea36d23903a4cf25596d923101e08a.jpeg"",0.467452,0.443437,0.430630,0.294547,0.810059,1.472511
20260421_234300,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\2d1e383e93d93443bca56c0f0b0d43cc.jpeg"",0.395408,0.384201,0.380999,0.286542,0.169671,1.544554
20260421_234331,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\3c7c52f8848f88c2c768ccbf226c91eb.jpeg"",0.326566,0.316961,0.307355,0.064007,0.080017,1.084275
20260421_234401,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\903fbce54a3f926c53ab5fc4faf76122.jpeg"",0.075214,0.088022,0.096027,0.044796,0.033589,1.308411
20260421_234425,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\4002c487554968511f9bffef51dd7a0d.jpeg"",0.225705,0.187282,0.169671,0.051200,0.083219,1.052256
20260421_234447,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\b13688268210a54560895b5fc23974a1.jpeg"",0.262528,0.236912,0.230508,0.047998,0.031988,0.912171
20260421_234523,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\e58196b9acb9a01b280ef83b6ed4bf8e.jpeg"",0.240114,0.240114,0.243316,0.047998,0.067209,1.360443
